"","states","M","median","low","high"
"375","New Mexico",3,2281.5,2238,2311
"376","New Mexico",4,2137,2104.5,2177
"377","New Mexico",5,2308,2284,2320.25
"378","New Mexico",6,2234.5,2219.25,2253.25
"379","New Mexico",7,2409,2375,2447
"380","New Mexico",8,2436.5,2387,2471
"381","New Mexico",9,2349.5,2304.5,2380.75
"382","New Mexico",10,2310.5,2257.25,2376.75
"383","New Mexico",11,2175,2115.75,2259.75
"384","New Mexico",12,2251,2220.25,2273.75
"385","New York",1,21105,20872.25,21513.75
"386","New York",2,19448.5,19061,20408.25
"387","New York",3,21765.5,21542.25,21923
"388","New York",4,20930,20735.5,21509.25
"389","New York",5,22335.5,21964,22511.75
"390","New York",6,21806.5,21349.25,22133.5
"391","New York",7,22624,22442,23041.25
"392","New York",8,22537.5,22356,22863.5
"393","New York",9,21837,21662.5,22155.75
"394","New York",10,21509,21479.5,21887
"395","New York",11,20337,20154.25,20723.75
"396","New York",12,21215.5,20967.75,21452.25
"397","North Carolina",1,9208,8894.75,9948.25
"398","North Carolina",2,8473.5,8098,8939
"399","North Carolina",3,9402,8718.5,9818.25
"400","North Carolina",4,8913,8452.75,9282
"401","North Carolina",5,9137,8677.5,9716.5
"402","North Carolina",6,9275,8792.25,9528.5
"403","North Carolina",7,9926.5,9454,10406.25
"404","North Carolina",8,10047.5,9521.5,10541.25
"405","North Carolina",9,9989,9225,10110.75
"406","North Carolina",10,9512.5,9228,9910.25
"407","North Carolina",11,9101,8542.75,9347.75
"408","North Carolina",12,9585.5,9115.25,9814
"409","North Dakota",1,631.5,615.25,669.25
"410","North Dakota",2,599,579.25,645.25
"411","North Dakota",3,696.5,653.5,707
"412","North Dakota",4,675.5,660,709.25
"413","North Dakota",5,687.5,651.25,729.75
"414","North Dakota",6,665,654.5,675.25
"415","North Dakota",7,701.5,671.25,730.25
"416","North Dakota",8,700.5,683,723
"417","North Dakota",9,683.5,650.5,705.5
"418","North Dakota",10,637,617.25,660
"419","North Dakota",11,609.5,596.25,623.75
"420","North Dakota",12,658.5,603,688.5
"421","Ohio",1,12226.5,12074.5,12358.5
"422","Ohio",2,11637,11508.25,11810.75
"423","Ohio",3,12992,12908.5,13057.5
"424","Ohio",4,12378.5,12279.5,12625.25
"425","Ohio",5,13210,12774.75,13281.5
"426","Ohio",6,12897,12682.25,13184
"427","Ohio",7,13520,13428.25,13595.25
"428","Ohio",8,13400,13362.5,13705.25
"429","Ohio",9,13130.5,12870,13271.5
"430","Ohio",10,12798.5,12736.5,12905
"431","Ohio",11,11737,11690.75,11852
"432","Ohio",12,12362,12098,12522.75
"433","Oklahoma",1,4047,3881.75,4112.5
"434","Oklahoma",2,3708.5,3595.5,3810.5
"435","Oklahoma",3,4112,3877.5,4146.5
"436","Oklahoma",4,3893.5,3790.75,3950.25
"437","Oklahoma",5,4004,3883.5,4096.25
"438","Oklahoma",6,4054,3893.75,4102
